district,sch_code,county,pub_priv,school,enrollment,complete,start_year
OAKLAND UNIFIED,6001978,ALAMEDA,PUBLIC,LAFAYETTE ELEMENTARY,25,24,2015
OAKLAND UNIFIED,6001994,ALAMEDA,PUBLIC,LAUREL ELEMENTARY,120,118,2015
OAKLAND UNIFIED,0115592,ALAMEDA,PUBLIC,LEARNING WITHOUT LIMITS,72,70,2015
OAKLAND UNIFIED,0130633,ALAMEDA,PUBLIC,LIGHTHOUSE COMMUNITY CHARTER,48,48,2015
OAKLAND UNIFIED,6002018,ALAMEDA,PUBLIC,LINCOLN ELEMENTARY,120,120,2015
OAKLAND UNIFIED,6002182,ALAMEDA,PUBLIC,MADISON PARK ACADEMY TK-5,62,59,2015
OAKLAND UNIFIED,6002042,ALAMEDA,PUBLIC,MANZANITA COMMUNITY,87,85,2015
OAKLAND UNIFIED,0110247,ALAMEDA,PUBLIC,MANZANITA SEED,101,99,2015
OAKLAND UNIFIED,6002059,ALAMEDA,PUBLIC,MARKHAM ELEMENTARY,92,90,2015
OAKLAND UNIFIED,6072235,ALAMEDA,PUBLIC,"MARTIN LUTHER KING, JR. ELEMENTARY",58,56,2015
OAKLAND UNIFIED,6118640,ALAMEDA,PUBLIC,MELROSE LEADERSHIP ACADEMY,97,89,2015
OAKLAND UNIFIED,6002083,ALAMEDA,PUBLIC,MONTCLAIR ELEMENTARY,124,123,2015
OAKLAND UNIFIED,6001903,ALAMEDA,PUBLIC,NEW HIGHLAND ACADEMY,69,69,2015
OAKLAND UNIFIED,6117972,ALAMEDA,PUBLIC,NORTH OAKLAND COMMUNITY CHARTER,22,21,2015
OAKLAND UNIFIED,6002091,ALAMEDA,PUBLIC,PARKER ELEMENTARY,56,56,2015
OAKLAND UNIFIED,6002109,ALAMEDA,PUBLIC,PERALTA ELEMENTARY,56,52,2015
OAKLAND UNIFIED,6002117,ALAMEDA,PUBLIC,PIEDMONT AVENUE ELEMENTARY,58,55,2015
OAKLAND UNIFIED,6002125,ALAMEDA,PUBLIC,PREPARATORY LITERARY ACADEMY OF CULTURAL EXCELLENCE,44,43,2015
OAKLAND UNIFIED,0110239,ALAMEDA,PUBLIC,REACH ACADEMY,81,77,2015
OAKLAND UNIFIED,6002141,ALAMEDA,PUBLIC,REDWOOD HEIGHTS ELEMENTARY,50,47,2015
OAKLAND UNIFIED,0110262,ALAMEDA,PUBLIC,RISE COMMUNITY,61,59,2015
OAKLAND UNIFIED,0161259,ALAMEDA,PUBLIC,ROSES AND CONCRETE COMMUNITY SCHOOL,45,41,2015
